,book_id,authors,original_publication_year,original_title,title,language_code,image_url,comb
0,2767052,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,https://images.gr-assets.com/books/1447303603l/2767052.jpg,the hunger games suzanne collins
1,3,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,https://images.gr-assets.com/books/1474154022l/3.jpg,"harry potter and the philosopher's stone j.k. rowling, mary grandpré"
2,41865,Stephenie Meyer,2005.0,Twilight,"Twilight (Twilight, #1)",en-US,https://images.gr-assets.com/books/1361039443l/41865.jpg,twilight stephenie meyer
3,2657,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680l/2657.jpg,to kill a mockingbird harper lee
4,4671,F. Scott Fitzgerald,1925.0,The Great Gatsby,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560l/4671.jpg,the great gatsby f. scott fitzgerald
5,11870085,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420l/11870085.jpg,the fault in our stars john green
6,5907,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,The Hobbit,en-US,https://images.gr-assets.com/books/1372847500l/5907.jpg,the hobbit or there and back again j.r.r. tolkien
7,5107,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300l/5107.jpg,the catcher in the rye j.d. salinger
8,960,Dan Brown,2000.0,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,https://images.gr-assets.com/books/1303390735l/960.jpg,angels & demons  dan brown
9,1885,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351l/1885.jpg,pride and prejudice jane austen
10,77203,Khaled Hosseini,2003.0,The Kite Runner ,The Kite Runner,eng,https://images.gr-assets.com/books/1484565687l/77203.jpg,the kite runner  khaled hosseini
